ID,PREFERREDLABEL_EN,PREFERREDLABEL_SW,PREFERREDLABEL_BACK_EN,DESCRIPTION_EN,DESCRIPTION_SW,DESCRIPTION_BACK_EN
687671c1ebd2bf665349e7a7,control panel assembler,mfunganishaji wa paneli za udhibiti,control panel assembler,"Control panel assemblers read schematic drawings to assemble control panel units for electrical equipment. They put together wiring, switches, control and measuring apparatus and cables with hand operated tools.","Wafunganishaji wa paneli za udhibiti husoma michoro ya skematiki ili kuunganisha uniti za paneli za udhibiti kwa ajili ya vifaa vya umeme. Wanaunganisha nyaya, swichi, vifaa vya kudhibiti na kupimia pamoja na nyaya kwa kutumia zana zinazoendeshwa kwa mkono.","Control panel assemblers read schematic diagrams to assemble control panel units for electrical equipment. They connect wires, switches, control and measuring devices, and cables using hand-operated tools."
687671c1ebd2bf665349e545,foundry operative,mfanyakazi wa kiwanda cha kuyeyusha chuma,iron foundry worker,"Foundry operative manufacture castings, including pipes, tubes, hollow profiles and other products of the first processing of steel, by operating hand-controlled equipment in a foundry. They conduct the flow of molten ferrous and non-ferrous metals into moulds, taking care to create the exact right circumstances to obtain the highest quality metal. They observe the flow of metal to identify faults. In case of a fault, they notify the authorised personnel and participate in the removal of the fault.","Wafanyakazi wa kiwanda cha kuyeyusha chuma hutengeneza bidhaa za chuma zilizomiminwa, ikiwa ni pamoja na mabomba, tyubu, wasifu wenye uwazi na bidhaa nyingine za usindikaji wa kwanza wa chuma, kwa kuendesha vifaa vinavyodhibitiwa kwa mkono katika kiwanda cha kuyeyusha chuma. Wanaongoza mtiririko wa metali za ferasi na zisizo za ferasi zilizoyeyushwa kwenye kalibu, wakizingatia kuweka mazingira sahihi kabisa ili kupata chuma cha ubora wa juu zaidi. Wanatazama mtiririko wa chuma ili kutambua hitilafu. Ikitokea hitilafu, hutoa taarifa kwa wafanyakazi walioidhinishwa na kushiriki katika kuondoa hitilafu hiyo.","Iron foundry workers produce cast iron products, including pipes, tubes, hollow profiles, and other primary iron processing products, by operating manually controlled equipment in an iron foundry. They guide the flow of molten ferrous and non-ferrous metals into molds, ensuring the precise environment is maintained to obtain the highest quality iron. They monitor the flow of metal to identify defects. If a defect occurs, they report it to authorized personnel and participate in resolving the defect."
687671c1ebd2bf665349e333,consumer rights advisor,mshauri wa haki za mlaji,consumer rights advisor,"Consumer rights advisors aid consumers with complaints and provide advice and information on rights as a consumer after purchase of products or services. They monitor organisations to ensure compliance to consumer rights standards, and aid consumers in handling disputes.","Washauri wa haki za mlaji huwasaidia walaji wenye malalamiko na kutoa ushauri na taarifa kuhusu haki kama mlaji baada ya kununua bidhaa au huduma. Wanazifuatilia mashirika ili kuhakikisha uzingatiaji wa viwango vya haki za mlaji, na kuwasaidia walaji katika kushughulikia migogoro.",Consumer rights advisors help consumers with complaints and provide advice and information about consumer rights after purchasing goods or services. They monitor organizations to ensure compliance with consumer rights standards and assist consumers in resolving disputes.
687671c1ebd2bf665349e003,human resources officer,afisa wa rasilimali watu,human resources officer,"Human resources officers develop and implement strategies that help their employers select and retain appropriately qualified staff within that business sector. They recruit staff, prepare job advertisements, interview and short-list people, negotiate with employment agencies, and set up working conditions. Human resources officers also administer the payroll, review salaries and advise on remuneration benefits and employment law. They arrange for training opportunities to enhance employees' performance.","Maafisa wa rasilimali watu huandaa na kutekeleza mikakati inayosaidia waajiri wao kuchagua na kubakiza wafanyakazi wenye sifa zinazostahili ndani ya sekta hiyo ya biashara. Wanaajiri wafanyakazi, kuandaa matangazo ya kazi, kuhoji na kuchuja watu, kujadiliana na mawakala wa ajira, na kuweka mazingira ya kazi. Maafisa wa rasilimali watu pia husimamia malipo, kupitia mishahara na kushauri kuhusu faida za malipo na sheria ya ajira. Wanapanga fursa za mafunzo ili kuboresha utendaji wa wafanyakazi.","Human resources officers prepare and implement strategies that help their employers select and retain qualified employees within that business sector. They recruit employees, prepare job advertisements, interview and screen candidates, negotiate with employment agencies, and establish working environments. Human resources officers also manage compensation, review salaries, and advise on benefits and employment law. They plan training opportunities to improve employee performance."
687671c1ebd2bf665349e39d,stage machinist,fundi mitambo wa jukwaa,stage technician,"Stage machinists manipulate sets and other elements in a performance based on the artistic or creative concept, in interaction with the performers. Their work is influenced by and influences the results of other operators. Therefore, the stage machinists work closely together with the designers, operators and performers. Stage machinists prepare and perform the setup, execute changeovers and operate manual fly bar systems. Their work is based on plans, instructions and calculations.","Mafundi mitambo wa jukwaa huendesha seti na vipengele vingine katika onyesho kulingana na dhana ya kisanii au ubunifu, kwa kushirikiana na waigizaji. Kazi yao huathiriwa na na huathiri matokeo ya waendeshaji wengine. Kwa hivyo, mafundi mitambo wa jukwaa hufanya kazi kwa karibu na wabunifu, waendeshaji na waigizaji. Mafundi mitambo wa jukwaa huandaa na kufanya usanidi, kutekeleza mabadiliko na kuendesha mifumo ya mikono ya baa za kuruka. Kazi yao inategemea mipango, maelekezo na mahesabu.","Stage technicians operate sets and other elements in a show according to an artistic or creative concept, in collaboration with performers. Their work is influenced by and influences the results of other operators. Therefore, stage technicians work closely with designers, operators, and performers. Stage technicians prepare and perform setups, implement changes, and operate manual flying bar systems. Their work relies on plans, instructions, and calculations."
687671c1ebd2bf665349e5fa,book-sewing machine operator,opereta wa mashine ya kushona vitabu,book sewing machine operator,Book-sewing machine operators tend a machine that stitches paper together to form a volume. They check that signatures are inserted the right way and the machine does not jam.,Waendeshaji wa mashine ya kushona vitabu huhudumia mashine inayoshona karatasi pamoja ili kuunda kitabu. Wanakagua kuwa saini zimeingizwa kwa njia sahihi na mashine haikwami.,Book sewing machine operators operate a machine that sews paper together to create a book. They check that signatures are inserted correctly and that the machine does not jam.
687671c1ebd2bf665349e0ff,subtitler,mtaalamu wa manukuu,subtitling specialist,"Subtitlers can work intralingually, within the same language, or interlingually, across languages. Intralingual subtitlers create the subtitles for hearing-impaired viewers, whereas interlingual subtitlers create the subtitles for movies or television programmes in a different language to the one heard in the audiovisual production. They both ensure that the captions and subtitles are synchronised with the sound, images and dialogue of the audiovisual work.","Wataalamu wa manukuu wanaweza kufanya kazi ndani ya lugha moja, au kati ya lugha tofauti. Wataalamu wa manukuu ya lugha moja huunda manukuu kwa ajili ya watazamaji wenye ulemavu wa kusikia, ilhali wataalamu wa manukuu ya lugha tofauti huunda manukuu ya filamu au vipindi vya televisheni katika lugha tofauti na ile inayosikika katika uzalishaji wa sauti na picha. Wote wawili huhakikisha kuwa manukuu yanasawazishwa na sauti, picha na mazungumzo ya kazi ya sauti na picha.","Subtitling specialists can work within one language or between different languages. Single-language subtitling specialists create subtitles for hearing-impaired audiences, while multi-language subtitling specialists create subtitles for films or television programs in a language different from that heard in the audio-visual production. Both ensure that subtitles are synchronized with the sound, image, and dialogue of the audio-visual work."
687671c0ebd2bf665349dcb4,strategic planning manager,meneja wa mipango mkakati,strategic planning manager,"Strategic planning managers create, together with a team of managers, the strategic plans of the company as a whole, and provide coordination in the implementation per department. They help to interpret the overall plan and create a detailed plan for each one of the departments and branches. They ensure consistency in the implementation.","Meneja wa mipango mkakati huunda, pamoja na timu ya mameneja, mipango mkakati ya kampuni kwa ujumla, na kutoa uratibu katika utekelezaji kwa kila idara. Wanasaidia kutafsiri mpango mkuu na kuunda mpango wa kina kwa kila moja ya idara na matawi. Wanahakikisha uthabiti katika utekelezaji.","Strategic planning managers, together with a team of managers, create strategic plans for the company as a whole and provide coordination in implementation for each department. They help translate the master plan and create a detailed plan for each of the departments and branches. They ensure consistency in implementation."
687671c1ebd2bf665349defb,specialised doctor,daktari bingwa,specialist doctor,"Specialised doctors prevent, diagnose and treat diseases depending on their medical or surgical specialty.","Madaktari bingwa huzuia, hupima na kutibu magonjwa kulingana na utaalamu wao wa matibabu au upasuaji.","Specialist doctors prevent, diagnose, and treat diseases according to their medical or surgical specialization."
687671c1ebd2bf665349e78b,fibre machine tender,msimamizi wa mashine ya nyuzi,fiber machine operator,Fibre machine tenders operate and maintain extrusion machines that form sliver from filaments. They work with synthetic materials such as fiberglass or liquid polymer or non-synthetic materials such as rayon.,Wasimamizi wa mashine ya nyuzi huendesha na kudumisha mashine za kutoa ambazo hutengeneza kamba kutoka kwa nyuzi ndogo. Wanafanya kazi na vifaa vya sanisi kama vile kioo cha nyuzi au polima ya majimaji au vifaa visivyo vya sanisi kama vile rayoni.,Fiber machine operators operate and maintain extrusion machines that produce ropes from small fibers. They work with synthetic materials such as fiberglass or liquid polymer or non-synthetic materials such as rayon.
687671c1ebd2bf665349e35e,sports instructor,mkufunzi wa michezo,sports instructor,"Sports instructors introduce people to a sport and teach them the skills required for the performance of sport. They have a strong grip on one or more sports, which are often adventure sports, and know how to motivate others and share with them the enjoyment of the activity.","Wakufunzi wa michezo huwatambulisha watu kwenye mchezo na kuwafundisha ujuzi unaohitajika kwa ajili ya utendaji wa mchezo. Wana ujuzi thabiti wa mchezo mmoja au zaidi, ambayo mara nyingi ni michezo ya matukio, na wanajua jinsi ya kuwahamasisha wengine na kushiriki nao furaha ya shughuli hiyo.","Sports instructors introduce people to a sport and teach them the skills needed for game performance. They have a solid knowledge of one or more sports, which are often adventure sports, and they know how to motivate others and share the joy of the activity with them."
687671c1ebd2bf665349e1d0,distillery supervisor,msimamizi wa kiwanda cha kutengeneza pombe kali,distillery manager,Distillery supervisors coordinate the production processes comprised in the production of spirits and manage the workers engaged in the process. They verify distilled liquors being produced at specified amounts and proofs.,Wasimamizi wa kiwanda cha kutengeneza pombe kali huratibu michakato ya uzalishaji inayojumuisha uzalishaji wa vinywaji vikali na kusimamia wafanyakazi wanaohusika katika mchakato huo. Wanahakiki vinywaji vikali vilivyochujwa vinavyozalishwa kwa kiasi na viwango maalum vya kileo.,Distillery managers coordinate production processes involving the production of spirits and supervise the employees involved in the process. They review distilled spirits produced in specific quantities and alcohol levels.
687671c1ebd2bf665349e0fe,localiser,mtaalamu wa ujanibishaji,localization specialist,"Localisers translate and adapt texts to the language and culture of a specific target audience. They convert standard translation into locally understandable texts with flairs of the culture, sayings, and other nuances that make the translation richer and more meaningful for a cultural target group than it was before.","Wataalamu wa ujanibishaji hutafsiri na kurekebisha maandishi kulingana na lugha na utamaduni wa walengwa mahususi. Wanabadilisha tafsiri ya kawaida kuwa maandishi yanayoeleweka ndani ya eneo husika yenye vionjo vya utamaduni, misemo, na maana nyingine fiche zinazofanya tafsiri kuwa tajiri zaidi na yenye maana zaidi kwa kikundi cha kitamaduni kilichokusudiwa kuliko ilivyokuwa hapo awali.","Localization specialists translate and adapt texts according to the language and culture of specific target audiences. They transform standard translations into texts that are understandable within the relevant region, incorporating cultural nuances, idioms, and other hidden meanings that make the translation richer and more meaningful for the intended cultural group than it was previously."
687671c1ebd2bf665349df08,animal therapist,mtaalamu wa tiba ya wanyama,animal therapist,Animal therapists provide a therapeutic treatment following veterinary diagnosis or referral.,Wataalamu wa tiba ya wanyama hutoa matibabu ya kibaolojia kufuatia utambuzi wa daktari wa mifugo au rufaa.,Animal therapists provide biological treatments following a veterinary diagnosis or referral.
687671c1ebd2bf665349dffd,healthcare consultant,mshauri wa huduma za afya,healthcare consultant,"Healthcare consultants advise health care organisations on the development of plans to improve patient care and safety. They analyse health care policies and identify issues, and aid in the development of improvement strategies.","Washauri wa huduma za afya hushauri mashirika ya huduma za afya kuhusu uandaaji wa mipango ya kuboresha huduma na usalama wa wagonjwa. Wanachambua sera za huduma za afya na kutambua masuala, na kusaidia katika uandaaji wa mikakati ya uboreshaji.","Healthcare consultants advise healthcare organizations on developing plans to improve services and patient safety. They analyze healthcare policies, identify issues, and assist in developing improvement strategies."
687671c1ebd2bf665349e1df,paperhanger supervisor,msimamizi wa ubandikaji wa karatasi za ukutani,wallpapering supervisor,Paperhanger supervisors monitor the hanging of wallpaper. They assign tasks and take quick decisions to resolve problems.,Wasimamizi wa ubandikaji wa karatasi za ukutani hufuatilia ubandikaji wa karatasi za ukutani. Wanagawa kazi na kufanya maamuzi ya haraka ili kutatua matatizo.,Wallpapering supervisors oversee wallpaper installation. They assign tasks and make quick decisions to resolve problems.
687671c0ebd2bf665349de1f,pharmacologist,mwanafamajia,pharmacologist,"Pharmacologists study the manner in which drugs and medicaments interact with organisms, living systems, and their parts (i.e. cells, tissues, or organs). Their research aims at identifying substances that can be ingested by humans and that exert adequate biochemical functions for curing illnesses.","Wanafamajia huchunguza namna ambavyo dawa na matibabu huingiliana na viumbe, mifumo hai, na sehemu zake (yaani seli, tishu, au viungo). Utafiti wao unalenga kutambua dutu zinazoweza kumezwa na binadamu na ambazo hufanya kazi za kibiokemia zinazofaa kwa ajili ya kutibu magonjwa.","Pharmacologists investigate how drugs and treatments interact with organisms, living systems, and their parts (i.e., cells, tissues, or organs). Their research aims to identify substances that can be ingested by humans and perform biochemical functions suitable for treating diseases."
687671c0ebd2bf665349ddf8,environmental geologist,mwanajiolojia wa mazingira,environmental geologist,Environmental geologists study how mineral operations may impact the composition and physical characteristics of the earth and its resources. They provide advice on issues such as land reclamation and environmental pollution.,Wanajiolojia wa mazingira huchunguza jinsi shughuli za madini zinavyoweza kuathiri muundo na sifa za kifizikia za dunia na maliasili zake. Wanatoa ushauri kuhusu masuala kama vile urejeshaji wa ardhi na uchafuzi wa mazingira.,Environmental geologists investigate how mining activities can affect the structure and physical characteristics of the earth and its natural resources. They provide advice on issues such as land reclamation and environmental pollution.
687671c1ebd2bf665349e2af,wholesale merchant in flowers and plants,mfanyabiashara wa jumla wa maua na mimea,flower and plant wholesaler,Wholesale merchants in flowers and plants investigate potential wholesale buyers and suppliers and match their needs. They conclude trades involving large quantities of goods.,Wafanyabiashara wa jumla wa maua na mimea huchunguza wanunuzi na wasambazaji wa jumla watarajiwa na kulinganisha mahitaji yao. Wanahitimisha biashara zinazohusisha kiasi kikubwa cha bidhaa.,Flower and plant wholesalers research potential buyers and suppliers and match their needs. They conclude deals involving large quantities of goods.
687671c1ebd2bf665349de27,forestry adviser,mshauri wa misitu,forestry consultant,Forestry advisers provide services and advice on economic and environmental issues related to timber and forestry management in compliance with laws and regulations.,Washauri wa misitu hutoa huduma na ushauri kuhusu masuala ya kiuchumi na kimazingira yanayohusiana na mbao na usimamizi wa misitu kwa kuzingatia sheria na kanuni.,"Forestry consultants provide services and advice on economic and environmental issues related to timber and forest management, adhering to laws and regulations."
687671c1ebd2bf665349e259,optical technician,fundi wa vifaa vya macho,optical technician,"Optical technicians assemble, repair and design various parts of eyewear such as lenses, frames, patterns and eyewear. They cut, inspect, mount and polish all parts using various machinery and hand tools. Optical technicians shape, grind and coat lenses for prescription eyewear. They fit completed lenses into eyeglass frames. Optical technicians ensure that lenses conform to the dispensing optician’s, specialised doctor in ophtalmology's or optometrist's prescriptions. They may also work with other associated optical instrumentation and its maintenance.","Mafundi wa vifaa vya macho huunganisha, kukarabati na kubuni sehemu mbalimbali za miwani kama vile lenzi, fremu, na mifumo ya miwani. Wanakata, kukagua, kuweka na kusugua sehemu zote kwa kutumia mitambo mbalimbali na zana za mkono. Mafundi wa vifaa vya macho hutengeneza, kusaga na kuweka tabaka kwenye lenzi za miwani ya matibabu. Wanaweka lenzi zilizokamilika kwenye fremu za miwani. Mafundi wa vifaa vya macho huhakikisha kuwa lenzi zinaendana na maelezo ya mtaalamu wa kutoa miwani, daktari bingwa wa magonjwa ya macho au mtaalamu wa uoni. Wanaweza pia kufanya kazi na vifaa vingine vinavyohusiana na macho na matengenezo yake.","Optical technicians assemble, repair, and design various parts of eyeglasses such as lenses, frames, and spectacle systems. They cut, inspect, mount, and polish all parts using various machines and hand tools. Optical technicians manufacture, grind, and coat lenses for prescription eyeglasses. They fit finished lenses into spectacle frames. Optical technicians ensure that lenses match the specifications of an optician, ophthalmologist, or optometrist. They may also work with other eye-related equipment and its maintenance."
687671c1ebd2bf665349e20c,gas station operator,mwendeshaji wa kituo cha gesi,gas plant operator,"Gas station operators process gases for compression, transmission or recovery by using gas, steam or electric engine compressors. They perform chemical tests on gases and are responsible for pumps and pipelines operations.","Waendeshaji wa kituo cha gesi husindika gesi kwa ajili ya mshinikizo, usafirishaji au urejeshaji kwa kutumia mashine za kushinikiza za gesi, mvuke au injini ya umeme. Wanafanya vipimo vya kemikali kwenye gesi na wanawajibika kwa uendeshaji wa pampu na mabomba.","Gas plant operators process gas for compression, transportation, or recovery using gas, steam, or electric engine compressors. They perform chemical tests on gas and are responsible for operating pumps and pipelines."
