elmis_title,amharic,sector,sub_sector,professional_formal,stage1_best_score,stage1_best_label,stage1_best_uri,stage2_decision,stage2_selected_index,stage2_selected_label,stage2_selected_uri,stage2_selected_isco4,stage2_confidence,stage2_rationale,llm_provider,llm_model,raw_response
Motor Pool Coordinator II,የሞተር ገንዳ አስተባባሪ II,"Logistics, transportation and communication",Other supportive transportation services,P,0.8074,welding coordinator,http://data.europa.eu/esco/occupation/cdef4961-fcc2-4e00-bfe8-4480b33aa6f3,no_match,,,,,high,"None of the candidates match the role of managing a fleet of vehicles (motor pool); the provided options relate to welding, water traffic, or swimming facilities.",gemini,gemini-3-flash-preview,"{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""None of the candidates match the role of managing a fleet of vehicles (motor pool); the provided options relate to welding, water traffic, or swimming facilities.""}"
Motorist & Messenger,አሽከርካሪ እና መልእክተኛ,"Logistics, transportation and communication",Other supportive transportation services,I,0.7374,live chat operator,http://data.europa.eu/esco/occupation/fde97584-d8e3-413e-a662-511c9055357e,no_match,,,,,high,"None of the candidates represent the physical role of driving and delivering items; they focus on digital communication, management, instruction, or vehicle repair.",gemini,gemini-3-flash-preview,"{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""None of the candidates represent the physical role of driving and delivering items; they focus on digital communication, management, instruction, or vehicle repair.""}"
Movie & Playstation Center Assistant,የፊልም እና የፕሌይስቴሽን ማዕከል ረዳት,Tourism and art,"Mobile, Theater and; Video film production and distribution",I,0.7784,assistant video and motion picture director,http://data.europa.eu/esco/occupation/71898b81-fc2f-4a97-826d-f45e49a8160a,no_match,,,,,high,"The candidates focus on film production, event planning, and live theatre technical work, none of which match the role of an attendant in a consumer entertainment venue like a gaming or movie lounge.",gemini,gemini-3-flash-preview,"{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""The candidates focus on film production, event planning, and live theatre technical work, none of which match the role of an attendant in a consumer entertainment venue like a gaming or movie lounge.""}"
Movie Organizer,የፊልም አዘጋጅ,Tourism and art,Motion Picture Works,U,0.8167,movie distributor,http://data.europa.eu/esco/occupation/3530b443-d2bf-4741-b771-12c77e7c6232,no_match,,,,,high,"The ELMIS title 'የፊልም አዘጋጅ' translates to 'Film Producer', which is a role involved in the creation and production of movies; none of the candidates (distributor, curator, or manager) accurately represent the production/producer function.",gemini,gemini-3-flash-preview,"{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""The ELMIS title 'የፊልም አዘጋጅ' translates to 'Film Producer', which is a role involved in the creation and production of movies; none of the candidates (distributor, curator, or manager) accurately represent the production/producer function.""}"
Movie poster designer,የፊልም ፖስተር ዲዛይነር,Tourism and art,Motion Picture Works,P,0.8243,art director,http://data.europa.eu/esco/occupation/cb93fd23-1f51-4495-867a-936c1967066b,match,1.0,art director,http://data.europa.eu/esco/occupation/cb93fd23-1f51-4495-867a-936c1967066b,2654,high,"An art director oversees visual layouts and artistic concepts for marketing and advertising in the motion picture industry, which directly encompasses movie poster design.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""high"", ""rationale"": ""An art director oversees visual layouts and artistic concepts for marketing and advertising in the motion picture industry, which directly encompasses movie poster design.""}"
Movie Recap Editor,የፊልም ሪካፕ አርታዒ,Tourism and art,Motion Picture Works,P,0.7575,video and motion picture editor,http://data.europa.eu/esco/occupation/ac734172-ae9a-41ab-80a0-a7b33694e027,match,1.0,video and motion picture editor,http://data.europa.eu/esco/occupation/ac734172-ae9a-41ab-80a0-a7b33694e027,2654,high,A movie recap editor performs the core tasks of a video and motion picture editor by assembling and cutting footage within the motion picture sub-sector.,gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""high"", ""rationale"": ""A movie recap editor performs the core tasks of a video and motion picture editor by assembling and cutting footage within the motion picture sub-sector.""}"
movie recap translator,የፊልም ሪካፕ ተርጓሚ,Tourism and art,Motion Picture Works,P,0.7893,translator,http://data.europa.eu/esco/occupation/1a07bd7d-2e1d-4930-a84a-1a442b8f2a44,match,1.0,translator,http://data.europa.eu/esco/occupation/1a07bd7d-2e1d-4930-a84a-1a442b8f2a44,2643,high,"A movie recap translator performs linguistic translation services, which is the core function described in the translator occupation.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""high"", ""rationale"": ""A movie recap translator performs linguistic translation services, which is the core function described in the translator occupation.""}"
MPC Transfer Officer,የ MPC ማስተላለፍ ኦፊሰር,Service,Finance and Administration Services,P,0.7701,relocation officer,http://data.europa.eu/esco/occupation/2049d7ef-9ebe-41ae-b8b5-e97b77ee58a2,no_match,,,,,high,"MPC stands for Multi-Purpose Cash in humanitarian and social protection contexts; none of the candidates (relocation, procurement, tax, licensing, or loans) match the role of managing cash-based assistance transfers.",gemini,gemini-3-flash-preview,"{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""MPC stands for Multi-Purpose Cash in humanitarian and social protection contexts; none of the candidates (relocation, procurement, tax, licensing, or loans) match the role of managing cash-based assistance transfers.""}"
MPesa Data Collector,MPesa ውሂብ ሰብሳቢ,ICT and digital work,Database organization and data processing,P,0.7097,computer software and multimedia shop manager,http://data.europa.eu/esco/occupation/691c86d9-d88f-440f-b885-7ed9726f782c,no_match,,,,,high,"None of the candidates describe the role of gathering or collecting data; they focus on infrastructure management, software design, retail, or debt collection.",gemini,gemini-3-flash-preview,"{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""None of the candidates describe the role of gathering or collecting data; they focus on infrastructure management, software design, retail, or debt collection.""}"
MPESA Sales Person,MPESA የሽያጭ ሰው,Business,"Telecommunication Equipment Retail Computer, Computer Accessories, Accessories & Accessories",P,0.7842,commercial sales representative,http://data.europa.eu/esco/occupation/14031d4a-6e99-442f-b4fe-18262b6432b2,match,1.0,commercial sales representative,http://data.europa.eu/esco/occupation/14031d4a-6e99-442f-b4fe-18262b6432b2,3322,high,"The ELMIS title describes a professional sales role in the telecommunications sector, which aligns best with the commercial sales representative, especially given the 'Professional' classification.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""high"", ""rationale"": ""The ELMIS title describes a professional sales role in the telecommunications sector, which aligns best with the commercial sales representative, especially given the 'Professional' classification.""}"
MPESA Sales supervisor,የMPESA የሽያጭ ተቆጣጣሪ,Business,"Telecommunication Equipment Retail Computer, Computer Accessories, Accessories & Accessories",P,0.7773,production supervisor,http://data.europa.eu/esco/occupation/40517ed4-2769-4283-a15b-4b0d939bd2d3,match,2.0,shop supervisor,http://data.europa.eu/esco/occupation/bdfb48e0-79dc-4b63-8470-db2e03b37326,5222,high,"The ELMIS title describes a supervisory role in a telecommunications retail context, which is best captured by the shop supervisor occupation.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 2, ""confidence"": ""high"", ""rationale"": ""The ELMIS title describes a supervisory role in a telecommunications retail context, which is best captured by the shop supervisor occupation.""}"
"MRT, Radiology Technologist","MRT, የራዲዮሎጂ ቴክኖሎጂ ባለሙያ",Health,Health,P,0.8194,diagnostic radiographer,http://data.europa.eu/esco/occupation/7d092380-1c2e-48fe-81de-0d191b4e96d6,match,1.0,diagnostic radiographer,http://data.europa.eu/esco/occupation/7d092380-1c2e-48fe-81de-0d191b4e96d6,2269,high,"The ELMIS title 'Radiology Technologist' is synonymous with 'diagnostic radiographer', both focusing on performing diagnostic imaging examinations in the health sector.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""high"", ""rationale"": ""The ELMIS title 'Radiology Technologist' is synonymous with 'diagnostic radiographer', both focusing on performing diagnostic imaging examinations in the health sector.""}"
ms Excel programmer,ms ኤክሴል ፕሮግራመር,ICT and digital work,Software Design Development and Implementation Works,P,0.767,software analyst,http://data.europa.eu/esco/occupation/04ba4d6c-957d-417f-bf63-5b9e015a9f86,match,3.0,software developer,http://data.europa.eu/esco/occupation/f2b15a0e-e65a-438a-affb-29b9d50b77d1,2512,medium,"An Excel programmer uses VBA or other languages to build tools and applications within Excel, which falls under the broader scope of a software developer in the ICT sector.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 3, ""confidence"": ""medium"", ""rationale"": ""An Excel programmer uses VBA or other languages to build tools and applications within Excel, which falls under the broader scope of a software developer in the ICT sector.""}"
MS4G Enterprise Growth Advisor,MS4G ኢንተርፕራይዝ እድገት አማካሪ,Service,Business Promotion Service,P,0.7758,ICT business analysis manager,http://data.europa.eu/esco/occupation/4b3201cb-ffc5-4f61-9fc3-5c0f0038fa5f,no_match,,,,,high,"The ELMIS title describes a general business growth advisor in the business promotion sector, whereas all provided candidates are specific to ICT systems, ICT sales, or business intelligence management.",gemini,gemini-3-flash-preview,"{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""The ELMIS title describes a general business growth advisor in the business promotion sector, whereas all provided candidates are specific to ICT systems, ICT sales, or business intelligence management.""}"
MS4G Enterprise Growth Specialist,MS4G ኢንተርፕራይዝ እድገት ስፔሻሊስት,Service,Business Promotion Service,P,0.7906,enterprise development worker,http://data.europa.eu/esco/occupation/aff66ae0-d6e1-4de3-b6af-78647defd08c,match,1.0,enterprise development worker,http://data.europa.eu/esco/occupation/aff66ae0-d6e1-4de3-b6af-78647defd08c,2635,medium,"The ELMIS title and the MS4G context (Market Systems for Growth) align with the functional role of enterprise development, despite the ESCO definition's specific focus on social impact.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""medium"", ""rationale"": ""The ELMIS title and the MS4G context (Market Systems for Growth) align with the functional role of enterprise development, despite the ESCO definition's specific focus on social impact.""}"
MSD – Irrigation officer,MSD - የመስኖ ኦፊሰር,Construction,Irrigation system,P,0.8479,irrigation technician,http://data.europa.eu/esco/occupation/534d18fe-eae4-4a02-af4d-f78e92faa5d5,no_match,,,,,medium,"The ELMIS title is a professional-level (Class P) role in irrigation construction, whereas the most topical candidates are either manual trades (ISCO 7) like technician/installer or are in different domains like agricultural policy or water traffic.",gemini,gemini-3-flash-preview,"{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""medium"", ""rationale"": ""The ELMIS title is a professional-level (Class P) role in irrigation construction, whereas the most topical candidates are either manual trades (ISCO 7) like technician/installer or are in different domains like agricultural policy or water traffic.""}"
MT Software,ኤምቲ ሶፍትዌር,ICT and digital work,Software Design Development and Implementation Works,P,0.7169,mountain guide,http://data.europa.eu/esco/occupation/86e8e172-234d-4e85-b9ae-6a4aecc2c321,no_match,,,,,high,"The abbreviation 'MT' is ambiguous in this context, and while candidates 2-5 are in the correct ICT sector, none specifically match a recognized 'MT' software role such as Machine Translation or Software Maintenance.",gemini,gemini-3-flash-preview,"{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""The abbreviation 'MT' is ambiguous in this context, and while candidates 2-5 are in the correct ICT sector, none specifically match a recognized 'MT' software role such as Machine Translation or Software Maintenance.""}"
Mulesoft/Salesforce Developer,ሙሌሶፍት/የሽያጭ ሃይል ገንቢ,ICT and digital work,Software Design Development and Implementation Works,P,0.7146,web developer,http://data.europa.eu/esco/occupation/c40a2919-48a9-40ea-b506-1f34f693496d,match,2.0,software developer,http://data.europa.eu/esco/occupation/f2b15a0e-e65a-438a-affb-29b9d50b77d1,2512,high,"Mulesoft and Salesforce developers are specialized software developers who use specific platforms and tools to build software systems, aligning perfectly with candidate 2.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 2, ""confidence"": ""high"", ""rationale"": ""Mulesoft and Salesforce developers are specialized software developers who use specific platforms and tools to build software systems, aligning perfectly with candidate 2.""}"
Multi Sectoral Project Manager-Afar Program Area,የባለብዙ ዘርፍ ፕሮጀክት ስራ አስኪያጅ - የአፋር ፕሮግራም አካባቢ,Service,Special event coordination,P,0.8216,project manager,http://data.europa.eu/esco/occupation/bea99fea-0383-4c63-b944-70d4799de2c5,match,1.0,project manager,http://data.europa.eu/esco/occupation/bea99fea-0383-4c63-b944-70d4799de2c5,1219,high,"The ELMIS title is a direct match for the general project manager role, sharing the same seniority and core responsibilities described in the ESCO profile.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""high"", ""rationale"": ""The ELMIS title is a direct match for the general project manager role, sharing the same seniority and core responsibilities described in the ESCO profile.""}"
Oromiffa to English Translator,ኦሮሚፋ ወደ እንግሊዝኛ ተርጓሚ,Service,Short-term language training and education,P,0.8013,translator,http://data.europa.eu/esco/occupation/1a07bd7d-2e1d-4930-a84a-1a442b8f2a44,match,1.0,translator,http://data.europa.eu/esco/occupation/1a07bd7d-2e1d-4930-a84a-1a442b8f2a44,2643,high,"The ELMIS title explicitly identifies the role as a translator, which is a direct match for the first ESCO candidate both in function and professional classification.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""high"", ""rationale"": ""The ELMIS title explicitly identifies the role as a translator, which is a direct match for the first ESCO candidate both in function and professional classification.""}"
Municipal Infrastructure Engineer,የማዘጋጃ ቤት መሠረተ ልማት መሐንዲስ,Economic Infrastructure,Municipality,P,0.8392,construction engineer,http://data.europa.eu/esco/occupation/2a914d26-42aa-46b5-acf3-097d51ba4617,match,2.0,civil engineer,http://data.europa.eu/esco/occupation/d7d986e1-7333-431b-9719-0c5c6939e360,2142,high,"The ELMIS title describes a generalist engineering role in municipal infrastructure, which is accurately captured by the broad scope of the civil engineer occupation.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 2, ""confidence"": ""high"", ""rationale"": ""The ELMIS title describes a generalist engineering role in municipal infrastructure, which is accurately captured by the broad scope of the civil engineer occupation.""}"
MySQL Database error debugger fixer,MySQL ዳታቤዝ ስህተት አራሚ,ICT and digital work,Database organization and data processing,P,0.6992,database developer,http://data.europa.eu/esco/occupation/b11e1742-5e28-4270-b081-b0193d85ee7d,match,1.0,database developer,http://data.europa.eu/esco/occupation/b11e1742-5e28-4270-b081-b0193d85ee7d,2521,high,The role of debugging and fixing database errors is a core technical task within the scope of a database developer who programs and implements changes to database management systems.,gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""high"", ""rationale"": ""The role of debugging and fixing database errors is a core technical task within the scope of a database developer who programs and implements changes to database management systems.""}"
Mystery shopping and Evaluation Department Head,ሚስጥራዊ ግዢ እና ግምገማ መምሪያ ኃላፊ,Service,Research and Experimental Development Works on Economics and Development,P,0.793,department store manager,http://data.europa.eu/esco/occupation/7dec82e0-3bfc-4c48-812d-c2095bfe05bb,no_match,,,,,high,"The ELMIS title describes a research and evaluation role in mystery shopping, whereas all candidates are retail management or security roles.",gemini,gemini-3-flash-preview,"{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""The ELMIS title describes a research and evaluation role in mystery shopping, whereas all candidates are retail management or security roles.""}"
Nannies for special need students,ልዩ ፍላጎት ላላቸው ተማሪዎች ናኒዎች,Service,Social work services,P,0.7556,nanny,http://data.europa.eu/esco/occupation/0a5356bc-7f81-4e40-971d-c1dc789c5fb4,match,4.0,special educational needs assistant,http://data.europa.eu/esco/occupation/1f137f0b-7097-4583-9d1b-b69e57369319,5312,high,"The special educational needs assistant describes the care and physical support for students with disabilities in an educational environment, which aligns with the role of a school-based nanny.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 4, ""confidence"": ""high"", ""rationale"": ""The special educational needs assistant describes the care and physical support for students with disabilities in an educational environment, which aligns with the role of a school-based nanny.""}"
National Advisor on Organization development,የድርጅት ልማት አማካሪ,Service,Consulting service around social science,P,0.8306,economic development coordinator,http://data.europa.eu/esco/occupation/9e1e8379-6377-4969-b141-0d2337218fc9,no_match,,,,,high,"Organization Development (OD) is a specific discipline focused on internal institutional effectiveness and human processes, whereas all provided candidates focus on macro-economic development, trade, or academic advising.",gemini,gemini-3-flash-preview,"{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""Organization Development (OD) is a specific discipline focused on internal institutional effectiveness and human processes, whereas all provided candidates focus on macro-economic development, trade, or academic advising.""}"
National Advocacy and Communication Manager,ብሄራዊ አድቮኬሲ እና ኮሙኒኬሽን ስራ አስኪያጅ,Service,Advertising,P,0.8242,public relations manager,http://data.europa.eu/esco/occupation/6cc19251-763b-4de1-b4f7-526c9ff732d2,match,2.0,communication manager,http://data.europa.eu/esco/occupation/cd7b838c-51f6-41ec-9067-bb974c0f991b,1222,high,"The candidate 'communication manager' is a direct match for the title and seniority level, covering the strategy and mission-promotion aspects of the ELMIS role.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 2, ""confidence"": ""high"", ""rationale"": ""The candidate 'communication manager' is a direct match for the title and seniority level, covering the strategy and mission-promotion aspects of the ELMIS role.""}"
National Child Protection and GBV Program Coordinator,ብሔራዊ የሕፃናት ጥበቃ እና የ GBV ፕሮግራም አስተባባሪ,Service,Social work services,P,0.7769,child care coordinator,http://data.europa.eu/esco/occupation/526ba8e1-fc71-4657-8d27-52f03e8ca81d,match,5.0,child care social worker,http://data.europa.eu/esco/occupation/0d423a2e-6fb7-4704-8544-bd6c522b3c62,2635,medium,"Candidate 5 is the most appropriate domain match as it focuses on child protection from abuse and neglect, which aligns with the core function of a Child Protection and GBV coordinator.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 5, ""confidence"": ""medium"", ""rationale"": ""Candidate 5 is the most appropriate domain match as it focuses on child protection from abuse and neglect, which aligns with the core function of a Child Protection and GBV coordinator.""}"
NATIONAL CONSULTANT FOR THE DEVELOPMENT OF A MIGRATION RESPONSE CENTRE (MRC) MANAGEMENT PACKAGE,የስደተኞች ምላሽ ማዕከል (MRC) ማኔጅመንት ፓኬጅ ልማት ብሔራዊ አማካሪ,Service,Consulting service around social science,P,0.7324,relocation officer,http://data.europa.eu/esco/occupation/2049d7ef-9ebe-41ae-b8b5-e97b77ee58a2,no_match,,,,,high,"The ELMIS role is a high-level social science consultancy for developing management systems, whereas the ESCO candidates focus on tourism, corporate relocation, or individual legal advice.",gemini,gemini-3-flash-preview,"{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""The ELMIS role is a high-level social science consultancy for developing management systems, whereas the ESCO candidates focus on tourism, corporate relocation, or individual legal advice.""}"
National Coordinator Sustainable Commercialization of Sexed Dairy Genetics in East Africa,በምስራቅ አፍሪካ የወሲብ የወተት ጀነቲክስ ብሄራዊ አስተባባሪ ዘላቂ ንግድ,agriculture,Livestock development,P,0.7341,dairy products maker,http://data.europa.eu/esco/occupation/43841fa5-f8ae-43ce-834d-5482ec23ef9e,no_match,,,,,high,"The ELMIS title describes a high-level professional coordination role in livestock genetics, while the candidates focus on dairy food processing or product distribution.",gemini,gemini-3-flash-preview,"{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""The ELMIS title describes a high-level professional coordination role in livestock genetics, while the candidates focus on dairy food processing or product distribution.""}"
National Dialogue Coordinator - Participation,ብሔራዊ ውይይት አስተባባሪ - ተሳትፎ,Service,Consulting service around social science,P,0.7306,public speaking coach,http://data.europa.eu/esco/occupation/21f4eb29-f6e5-4623-acb9-f3ff9c2f525d,match,2.0,intercultural communication consultant,http://data.europa.eu/esco/occupation/903dc1bf-2da8-477d-83b2-687d360cf1da,2432,medium,"Candidate 2 involves facilitating cooperation and social interaction between different groups, which aligns with the stakeholder participation and social science consulting aspects of a National Dialogue Coordinator.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 2, ""confidence"": ""medium"", ""rationale"": ""Candidate 2 involves facilitating cooperation and social interaction between different groups, which aligns with the stakeholder participation and social science consulting aspects of a National Dialogue Coordinator.""}"
National ECCE Project Manager,ብሔራዊ ኢሲኢኢ ፕሮጀክት ሥራ አስኪያጅ,Service,Special event coordination,P,0.8217,project manager,http://data.europa.eu/esco/occupation/bea99fea-0383-4c63-b944-70d4799de2c5,match,1.0,project manager,http://data.europa.eu/esco/occupation/bea99fea-0383-4c63-b944-70d4799de2c5,1219,high,"The ELMIS title is a project management role, and candidate 1 is the general project manager occupation that covers the required professional seniority and management responsibilities.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""high"", ""rationale"": ""The ELMIS title is a project management role, and candidate 1 is the general project manager occupation that covers the required professional seniority and management responsibilities.""}"
National Family Strengthening Program Manager,የብሔራዊ ቤተሰብ ማጠናከሪያ ፕሮግራም ሥራ አስኪያጅ,Service,Social work services,P,0.779,family social worker,http://data.europa.eu/esco/occupation/95d0a616-a4a9-4f56-a8fb-4de43cdb4c82,no_match,,,,,high,"The ELMIS title describes a high-level programmatic management role in social work services, but the candidates are either practitioners (social workers) or managers in unrelated sectors like education and child care facilities.",gemini,gemini-3-flash-preview,"{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""The ELMIS title describes a high-level programmatic management role in social work services, but the candidates are either practitioners (social workers) or managers in unrelated sectors like education and child care facilities.""}"
National Health and Nutrition Coordinator,ብሔራዊ ጤና እና አመጋገብ አስተባባሪ,Health,Health,P,0.8377,food regulatory advisor,http://data.europa.eu/esco/occupation/c872187a-079b-413b-8503-7b5dd92abb88,match,4.0,public health policy officer,http://data.europa.eu/esco/occupation/d4d6842b-27f0-4222-85db-c542acf6d434,2422,medium,"A National Coordinator role implies policy development and strategy implementation at a high level, which aligns best with the public health policy officer's focus on community health strategy and government advisory.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 4, ""confidence"": ""medium"", ""rationale"": ""A National Coordinator role implies policy development and strategy implementation at a high level, which aligns best with the public health policy officer's focus on community health strategy and government advisory.""}"
National Lead - Ethiopia Civil Society Coalition for Scaling Up Nutrition (ECSC-SUN),ብሔራዊ መሪ - የኢትዮጵያ ሲቪል ማኅበራት ጥምረት ለሥነ-ምግብ ማበልጸግ,Health,Health,P,0.7112,prepared meals nutritionist,http://data.europa.eu/esco/occupation/c37d0026-989b-4705-9bcb-30cccd8308fa,no_match,,,,,high,"The ELMIS title describes a high-level leadership and advocacy role for a national coalition, which is not represented by the technical, clinical, or domestic occupations listed.",gemini,gemini-3-flash-preview,"{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""The ELMIS title describes a high-level leadership and advocacy role for a national coalition, which is not represented by the technical, clinical, or domestic occupations listed.""}"
National Measles Data Manager,ብሔራዊ የኩፍኝ መረጃ አስተዳዳሪ,Health,Health,P,0.7171,business intelligence manager,http://data.europa.eu/esco/occupation/207d7b18-6540-432e-8aa6-785ed434572f,no_match,,,,,high,"The candidate occupations focus on corporate business intelligence, legal data protection, or biological research, and do not adequately represent the role of managing epidemiological or public health surveillance data.",gemini,gemini-3-flash-preview,"{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""The candidate occupations focus on corporate business intelligence, legal data protection, or biological research, and do not adequately represent the role of managing epidemiological or public health surveillance data.""}"
National MHPSS TWG Co-chair,ብሔራዊ MHPSS TWG ተባባሪ ሊቀመንበር,Health,Health,P,0.7196,dental chairside assistant,http://data.europa.eu/esco/occupation/bdc74965-1d1a-4f8e-a490-9cf71f494e02,no_match,,,,,high,None of the candidates match a high-level mental health (MHPSS) technical working group leadership role; the similarities are based on lexical overlaps with the word 'chair'.,gemini,gemini-3-flash-preview,"{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""None of the candidates match a high-level mental health (MHPSS) technical working group leadership role; the similarities are based on lexical overlaps with the word 'chair'.""}"
National Migration Health Physician,ብሔራዊ ማይግሬሽን የጤና ሐኪም,Health,Health,P,0.7463,migrant social worker,http://data.europa.eu/esco/occupation/a9a41b21-8dd4-476f-96c7-85733fa63d3b,no_match,,,,,high,"The ELMIS title specifically describes a 'Physician' (medical doctor), while the candidates are social workers, consultants, legal advisers, or community workers.",gemini,gemini-3-flash-preview,"{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""The ELMIS title specifically describes a 'Physician' (medical doctor), while the candidates are social workers, consultants, legal advisers, or community workers.""}"
National NTD midterm evaluation consultant,የብሔራዊ NTD የአማካይ ጊዜ ግምገማ አማካሪ,Health,Health,P,0.7347,monitoring and evaluation officer,http://data.europa.eu/esco/occupation/8213b4bc-60ce-4ffc-9e00-9758fb2003c6,match,1.0,monitoring and evaluation officer,http://data.europa.eu/esco/occupation/8213b4bc-60ce-4ffc-9e00-9758fb2003c6,2422,high,"The ELMIS title describes a professional role focused on evaluating health programs (NTDs), which directly aligns with the duties of a monitoring and evaluation officer.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""high"", ""rationale"": ""The ELMIS title describes a professional role focused on evaluating health programs (NTDs), which directly aligns with the duties of a monitoring and evaluation officer.""}"
National Project Coordinator for SRF Project,ለ SRF ፕሮጀክት የብሔራዊ ፕሮጀክት አስተባባሪ,Service,Special event coordination,P,0.8141,project support officer,http://data.europa.eu/esco/occupation/5ccb2c34-e860-43a5-9869-342487518115,match,2.0,project manager,http://data.europa.eu/esco/occupation/bea99fea-0383-4c63-b944-70d4799de2c5,1219,high,"A National Project Coordinator is effectively a Project Manager, overseeing daily activities and delivery within a specific project context.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 2, ""confidence"": ""high"", ""rationale"": ""A National Project Coordinator is effectively a Project Manager, overseeing daily activities and delivery within a specific project context.""}"
"National Project Coordinator, Youth Care leavers’ project",ብሔራዊ የፕሮጀክት አስተባባሪ፣ የወጣቶች እንክብካቤ ፈቃድ ሰጪዎች ፕሮጀክት,Service,Social work services,P,0.803,youth programme director,http://data.europa.eu/esco/occupation/a79e7622-2307-44e2-94cc-d1ff1caf655a,match,1.0,youth programme director,http://data.europa.eu/esco/occupation/a79e7622-2307-44e2-94cc-d1ff1caf655a,1344,high,The ELMIS title describes a professional management role for youth programs which aligns closely with the responsibilities and ISCO classification of a youth programme director.,gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""high"", ""rationale"": ""The ELMIS title describes a professional management role for youth programs which aligns closely with the responsibilities and ISCO classification of a youth programme director.""}"
National Project Officer (Emergency Shelter and NFI Sub-National Cluster),የብሔራዊ የፕሮጀክት ኦፊሰር (የአደጋ ጊዜ መጠለያ እና የNFI ንዑስ ብሔራዊ ክላስተር),Service,Social work services,P,0.7767,emergency response coordinator,http://data.europa.eu/esco/occupation/72913ee1-1696-4d74-b26f-681d17887c58,match,1.0,emergency response coordinator,http://data.europa.eu/esco/occupation/72913ee1-1696-4d74-b26f-681d17887c58,2263,medium,"The role involves coordinating emergency response activities and managing supplies (NFI), which aligns closely with the functions of an emergency response coordinator.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""medium"", ""rationale"": ""The role involves coordinating emergency response activities and managing supplies (NFI), which aligns closely with the functions of an emergency response coordinator.""}"
