"informal work in eng","Profession in Amharic","professional/ formal","sector","sub sector","nel_model_label","n_matches","best_score","best_confidence","m1_label","m1_uri","m1_score","m1_confidence","m2_label","m2_uri","m2_score","m2_confidence","m3_label","m3_uri","m3_score","m3_confidence","m4_label","m4_uri","m4_score","m4_confidence","m5_label","m5_uri","m5_score","m5_confidence"
"Lead of Advocacy","የጥብቅና አመራር","P","Service","Social work services","minilm","5","0.7696","low_similarity","activism officer","http://data.europa.eu/esco/occupation/98358049-fbcd-479e-a644-e92bde5af2e0","0.7696","low_similarity","activity leader","http://data.europa.eu/esco/occupation/234be692-befb-41df-bdf0-e1b2f4eaf5e7","0.7336","low_similarity","public funding advisor","http://data.europa.eu/esco/occupation/4ed22a87-8478-4731-be11-5942eacb2e16","0.7332","low_similarity","public affairs consultant","http://data.europa.eu/esco/occupation/9e285322-2cfa-430f-9b66-41be57d698e2","0.7316","low_similarity","political campaign officer","http://data.europa.eu/esco/occupation/3e213d52-e7a0-4980-99d9-23da1f717f50","0.7250","low_similarity"
"Lead Operations Manager","መሪ ኦፕሬሽን ሥራ አስኪያጅ","P","Service","Business Promotion Service","minilm","5","0.8853","high_confidence","operations manager","http://data.europa.eu/esco/occupation/c6bd511a-d966-4df9-a48e-4f800354f268","0.8853","high_confidence","road operations manager","http://data.europa.eu/esco/occupation/4ea620f2-5c75-49ee-85a0-b2fb6bbf3624","0.8428","low_similarity","ICT operations manager","http://data.europa.eu/esco/occupation/f0ca39a8-1e30-487c-95f9-ef2d5e734adc","0.8256","low_similarity","supply chain manager","http://data.europa.eu/esco/occupation/aacc3918-b5d3-484b-9480-5d29aa550d74","0.8025","low_similarity","industrial production manager","http://data.europa.eu/esco/occupation/eb9479c6-5fdf-4f45-ace4-28b547b8c7e5","0.7962","low_similarity"
"Lead Project Coordinator","መሪ ፕሮጀክት አስተባባሪ","P","Service","Business Promotion Service","minilm","5","0.8638","high_confidence","project manager","http://data.europa.eu/esco/occupation/bea99fea-0383-4c63-b944-70d4799de2c5","0.8638","high_confidence","project support officer","http://data.europa.eu/esco/occupation/5ccb2c34-e860-43a5-9869-342487518115","0.8549","high_confidence","ICT project manager","http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525","0.8237","low_similarity","publications coordinator","http://data.europa.eu/esco/occupation/aab8009a-5759-4f52-8865-6cc657b1f099","0.7868","low_similarity","public affairs consultant","http://data.europa.eu/esco/occupation/9e285322-2cfa-430f-9b66-41be57d698e2","0.7833","low_similarity"
"Lead Researcher on Botanical Sciences","የእጽዋት ሳይንስ መሪ ተመራማሪ","P","Service","Research and experimental development work in biology and chemistry","minilm","5","0.8814","high_confidence","botanicals specialist","http://data.europa.eu/esco/occupation/c5328083-eda0-4ca8-b9cb-99a46e73a9bc","0.8814","high_confidence","botanical technician","http://data.europa.eu/esco/occupation/2c5ae1b4-c3ca-4882-b7ce-e346ae5b5b00","0.8435","low_similarity","botanist","http://data.europa.eu/esco/occupation/55f001af-fa48-4c0c-a7e5-fc69babe3d45","0.8351","low_similarity","agricultural scientist","http://data.europa.eu/esco/occupation/c25b3700-6095-42b7-99fc-b87dc326c044","0.8069","low_similarity","conservation scientist","http://data.europa.eu/esco/occupation/e3cc09ba-7ad5-4411-940c-20613000863a","0.7875","low_similarity"
"Lead Substation Engineer","መሪ ማከፋፈያ መሐንዲስ","P","Economic Infrastructure","Energy","minilm","5","0.8954","high_confidence","substation engineer","http://data.europa.eu/esco/occupation/f1b89616-5dfe-40d4-8b02-58a6982b1a01","0.8954","high_confidence","power distribution engineer","http://data.europa.eu/esco/occupation/ac37627c-a999-4779-997e-9795cc4f9a3d","0.8302","low_similarity","power electronics engineer","http://data.europa.eu/esco/occupation/7f46db3a-754b-4bda-b287-5932fa062ee9","0.8167","low_similarity","electricity distribution technician","http://data.europa.eu/esco/occupation/c89afd9a-7dad-4bae-9315-5fcadd9ad8b6","0.8062","low_similarity","electrical engineer","http://data.europa.eu/esco/occupation/86ca306c-ab99-420a-9e2a-aa73c5c4de22","0.8035","low_similarity"
"Lead Water Supply & Sanitary Systems Design Engineer","የእርሳስ ውሃ አቅርቦት እና የንፅህና አጠባበቅ ስርዓቶች ንድፍ መሐንዲስ","P","Economic Infrastructure","Water construction","minilm","5","0.8089","low_similarity","water systems engineering technician","http://data.europa.eu/esco/occupation/13331bd9-0599-47c0-9812-29650c218de3","0.8089","low_similarity","water treatment systems operator","http://data.europa.eu/esco/occupation/1ab184b6-de00-4476-ba1d-c6a71c668be3","0.7906","low_similarity","wastewater engineer","http://data.europa.eu/esco/occupation/9740933e-e04a-41f6-af1f-a6d58c7eb0ec","0.7843","low_similarity","water engineer","http://data.europa.eu/esco/occupation/fcf9024e-277c-43c7-8ec8-8903e5c9c576","0.7836","low_similarity","water conservation technician","http://data.europa.eu/esco/occupation/0f898624-9b89-41ba-adcf-9360ade85a62","0.7624","low_similarity"
"Lead Workshop CUM Mechanical Technician","መሪ ወርክሾፕ መካኒካል ቴክኒሽያን","P","Service","General maintenance","minilm","5","0.8485","low_similarity","construction equipment technician","http://data.europa.eu/esco/occupation/b0480558-269d-4903-9bc7-f390cd6a6964","0.8485","low_similarity","mechanical engineering technician","http://data.europa.eu/esco/occupation/b31e404e-9af6-457d-a58a-208f612eeba3","0.8428","low_similarity","industrial engineering technician","http://data.europa.eu/esco/occupation/bcc21c63-7eee-4520-8fa7-43eefd389668","0.8416","low_similarity","metallurgical technician","http://data.europa.eu/esco/occupation/06351e17-67c4-44bc-adf7-64b73f92c3b5","0.8335","low_similarity","production engineering technician","http://data.europa.eu/esco/occupation/11833a96-fc27-4b03-a53d-892ac891a2bb","0.8329","low_similarity"
"Lead, CASCADE","መሪ","P","Service","Business Promotion Service","minilm","5","0.6982","low_similarity","leaf tier","http://data.europa.eu/esco/occupation/9f686e81-c236-42cb-b848-1918eb36e16a","0.6982","low_similarity","usher","http://data.europa.eu/esco/occupation/7f346896-a4fb-47a1-9572-13398bc297a6","0.6886","low_similarity","chemical metallurgist","http://data.europa.eu/esco/occupation/27eb624c-6171-4c71-aa71-bb21e83381d4","0.6740","low_similarity","metallurgist","http://data.europa.eu/esco/occupation/bcf8f332-c7e1-4a08-8651-28d668290eaf","0.6700","low_similarity","cooper","http://data.europa.eu/esco/occupation/501a3798-08bf-4475-88d2-0e8c9befb101","0.6698","low_similarity"
"Lead, Relationship Manager","መሪ, ግንኙነት አስተዳዳሪ","P","Service","Business Promotion Service","minilm","5","0.7872","low_similarity","relationship banking manager","http://data.europa.eu/esco/occupation/d96de969-d43d-4082-8559-7fc35484a217","0.7872","low_similarity","public relations manager","http://data.europa.eu/esco/occupation/6cc19251-763b-4de1-b4f7-526c9ff732d2","0.7829","low_similarity","marketing manager","http://data.europa.eu/esco/occupation/6fcf4638-e7c7-4978-9302-9a7b63a3d57c","0.7789","low_similarity","ICT vendor relationship manager","http://data.europa.eu/esco/occupation/e8bbc7fd-cfa2-406f-a664-57e5024cfbc5","0.7771","low_similarity","sales manager","http://data.europa.eu/esco/occupation/a7594892-ff23-4e2a-aedf-2f967ebca15c","0.7752","low_similarity"
"Leadership consultant","የአመራር አማካሪ","P","Service","Consulting service around social science","minilm","5","0.8612","high_confidence","business consultant","http://data.europa.eu/esco/occupation/6a29d804-f775-446c-bec7-35fc4e28ac97","0.8612","high_confidence","marketing consultant","http://data.europa.eu/esco/occupation/4791e217-d607-40d5-9f84-df1d0a071cbc","0.8602","high_confidence","public affairs consultant","http://data.europa.eu/esco/occupation/9e285322-2cfa-430f-9b66-41be57d698e2","0.8308","low_similarity","healthcare consultant","http://data.europa.eu/esco/occupation/61053604-8091-4a8e-9c63-5151051722e3","0.8272","low_similarity","recruitment consultant","http://data.europa.eu/esco/occupation/068370e0-9c27-4814-87d0-44fbb3140815","0.8213","low_similarity"
"Learning & Development Division Manager","የመማር እና ልማት ክፍል አስተዳዳሪ","P","Service","Other not-mentioned educational services (private tutoring, etc.)","minilm","5","0.8059","low_similarity","rooms division manager","http://data.europa.eu/esco/occupation/02e19186-458f-40eb-9e78-31c656d12ac7","0.8059","low_similarity","research and development manager","http://data.europa.eu/esco/occupation/73ceb2f9-18e3-4cfe-9c06-e9fb31ece440","0.8019","low_similarity","road transport division manager","http://data.europa.eu/esco/occupation/f56e33a3-01bb-46ba-98f4-d47aa242b983","0.8017","low_similarity","corporate training manager","http://data.europa.eu/esco/occupation/a14e96a7-6c4d-4d69-8c6f-7ccadf77bac5","0.7966","low_similarity","product development manager","http://data.europa.eu/esco/occupation/1488589a-7b83-471d-b094-492f5616f4e0","0.7877","low_similarity"
"Learning Management Solution Development","የመማር አስተዳደር መፍትሔ ልማት","P","ICT and digital work","Software Design Development and Implementation Works","minilm","5","0.7657","low_similarity","product development manager","http://data.europa.eu/esco/occupation/1488589a-7b83-471d-b094-492f5616f4e0","0.7657","low_similarity","research and development manager","http://data.europa.eu/esco/occupation/73ceb2f9-18e3-4cfe-9c06-e9fb31ece440","0.7605","low_similarity","corporate training manager","http://data.europa.eu/esco/occupation/a14e96a7-6c4d-4d69-8c6f-7ccadf77bac5","0.7585","low_similarity","managing and planning","urn:icatus:2016:35","0.7542","low_similarity","managing and planning","urn:icatus:2016:35","0.7542","low_similarity"
"Learning Management System (LMS) Specialist","የመማሪያ አስተዳደር ስርዓት ስፔሻሊስት","P","ICT and digital work","Software Design Development and Implementation Works","minilm","5","0.7958","low_similarity","corporate training manager","http://data.europa.eu/esco/occupation/a14e96a7-6c4d-4d69-8c6f-7ccadf77bac5","0.7958","low_similarity","management assistant","http://data.europa.eu/esco/occupation/8cce40c1-4479-47e7-b5fc-c976631d919f","0.7833","low_similarity","programme manager","http://data.europa.eu/esco/occupation/c94f3565-d987-431f-a46b-6f4e018e0bd7","0.7782","low_similarity","software manager","http://data.europa.eu/esco/occupation/f31f487b-4ce2-40f3-90e8-7d0011b4ef1d","0.7652","low_similarity","medical practice manager","http://data.europa.eu/esco/occupation/8c8b5cba-14b2-4728-b22c-eb90f1786e00","0.7640","low_similarity"
"Learning managment system Administrator and Help Desk Assistant","የመማሪያ አስተዳደር ስርዓት አስተዳዳሪ እና የእገዛ ዴስክ ረዳት","P","ICT and digital work","Software Design Development and Implementation Works","minilm","5","0.8460","low_similarity","administrative assistant","http://data.europa.eu/esco/occupation/044d78cc-f62f-4532-83a5-8e04f2889652","0.8460","low_similarity","helping administrative/office work","urn:icatus:2016:524","0.8386","low_similarity","ICT system administrator","http://data.europa.eu/esco/occupation/9e2e6e1e-363b-4e1b-a673-7bc0f7343300","0.8375","low_similarity","management assistant","http://data.europa.eu/esco/occupation/8cce40c1-4479-47e7-b5fc-c976631d919f","0.8364","low_similarity","ICT help desk manager","http://data.europa.eu/esco/occupation/1242d99a-47f1-4a62-b884-33746db8a6ca","0.8301","low_similarity"
"LEARNING, DESIGN AND MEASURMENT (LDM) MANAGER","የመማር፣ የንድፍ እና የመለኪያ አስተዳዳሪ","P","Service","Other not-mentioned educational services (private tutoring, etc.)","minilm","5","0.7683","low_similarity","product development manager","http://data.europa.eu/esco/occupation/1488589a-7b83-471d-b094-492f5616f4e0","0.7683","low_similarity","product manager","http://data.europa.eu/esco/occupation/9f508305-80ce-4111-8722-f2c9b4a44890","0.7552","low_similarity","construction quality manager","http://data.europa.eu/esco/occupation/326027fc-5408-47cd-9b32-fbe770dbbe80","0.7485","low_similarity","digital marketing manager","http://data.europa.eu/esco/occupation/dc97adbe-f807-4ad8-8f3c-c24b3416cdef","0.7434","low_similarity","industrial quality manager","http://data.europa.eu/esco/occupation/fdb16700-109e-4d02-949e-3213f278df93","0.7434","low_similarity"
"Learning, Monitoring and Evaluation (LME) Advisor","የመማር፣ ክትትል እና ግምገማ አማካሪ","P","Service","Consulting service around social science","minilm","5","0.8042","low_similarity","monitoring and evaluation officer","http://data.europa.eu/esco/occupation/8213b4bc-60ce-4ffc-9e00-9758fb2003c6","0.8042","low_similarity","predictive maintenance expert","http://data.europa.eu/esco/occupation/8edd8bff-cb59-4c9c-ab0f-59e77d18be48","0.7668","low_similarity","career guidance advisor","http://data.europa.eu/esco/occupation/5d0cc30d-068a-424c-8463-f42872a7149e","0.7577","low_similarity","assessor of prior learning","http://data.europa.eu/esco/occupation/20786e6d-36f0-4d1e-b033-05101fa71f3c","0.7498","low_similarity","corporate training manager","http://data.europa.eu/esco/occupation/a14e96a7-6c4d-4d69-8c6f-7ccadf77bac5","0.7378","low_similarity"
"Learning, Monitoring, and Evaluation Director","የትምህርት፣ ክትትል እና ግምገማ ዳይሬክተር","P","Service","Consulting service around social science","minilm","5","0.8670","high_confidence","monitoring and evaluation officer","http://data.europa.eu/esco/occupation/8213b4bc-60ce-4ffc-9e00-9758fb2003c6","0.8670","high_confidence","corporate training manager","http://data.europa.eu/esco/occupation/a14e96a7-6c4d-4d69-8c6f-7ccadf77bac5","0.8021","low_similarity","educational counsellor","http://data.europa.eu/esco/occupation/2412bbb1-29ca-4e17-a2b8-70694f0cb14f","0.7836","low_similarity","performance rental technician","http://data.europa.eu/esco/occupation/47e4135b-95d1-4462-920c-afcbd7c4d9be","0.7741","low_similarity","education policy officer","http://data.europa.eu/esco/occupation/f817aab2-ec8a-45ec-88ef-c11e0f19fd85","0.7727","low_similarity"
"Lease Officer","የሊዝ ኦፊሰር","P","Service","Rent office equipment and supplies (including computer)","minilm","5","0.8430","low_similarity","real estate leasing manager","http://data.europa.eu/esco/occupation/cee31c49-abe9-4f29-ad10-5eefe63f2a57","0.8430","low_similarity","rental manager","http://data.europa.eu/esco/occupation/de31a27f-c6ba-4d4f-87cd-b405e1852121","0.8313","low_similarity","licensing officer","http://data.europa.eu/esco/occupation/39c89133-bd2a-45db-b3eb-529b94daeeaf","0.8304","low_similarity","housing policy officer","http://data.europa.eu/esco/occupation/01205776-db8d-4588-a6a6-56d0b9c660a9","0.8269","low_similarity","prison officer","http://data.europa.eu/esco/occupation/3327a087-cd36-4b02-ac1b-6455f59f9312","0.8239","low_similarity"
"Leather bag and clothes designer","የቆዳ ቦርሳ እና ልብስ ዲዛይነር","P","Manufacturing","Leather clothing, travel accessories, womens handbags, handbags","minilm","5","0.9182","high_confidence","leather goods designer","http://data.europa.eu/esco/occupation/a142a645-6e9e-4d86-accd-9816df857c90","0.9182","high_confidence","leather goods patternmaker","http://data.europa.eu/esco/occupation/5157706c-3fce-420e-9e7f-863000af5397","0.8596","high_confidence","leather production planner","http://data.europa.eu/esco/occupation/97d65832-3817-4ded-946b-cfc4a0237b9a","0.8514","high_confidence","leather goods packing operator","http://data.europa.eu/esco/occupation/bf367464-950a-416c-98b1-52b9d571550e","0.8488","low_similarity","leather goods product developer","http://data.europa.eu/esco/occupation/d515e82a-ca9f-4be4-9823-33694dff7304","0.8460","low_similarity"
"Leather Jacket Worker","የቆዳ ጃኬት ሰራተኛ","P","Manufacturing","Leather clothing, travel accessories, womens handbags, handbags","minilm","5","0.8695","high_confidence","leather goods artisanal worker","http://data.europa.eu/esco/occupation/72d03aad-2003-404e-ae71-a37206e3566b","0.8695","high_confidence","leather goods designer","http://data.europa.eu/esco/occupation/a142a645-6e9e-4d86-accd-9816df857c90","0.8496","low_similarity","leather goods production supervisor","http://data.europa.eu/esco/occupation/0e68f523-3206-4896-b725-44150dd22057","0.8468","low_similarity","leather goods industrial engineer","http://data.europa.eu/esco/occupation/91d0f74b-8612-49cc-a7da-83ee3c4b94d9","0.8462","low_similarity","leather goods maintenance technician","http://data.europa.eu/esco/occupation/f31e25d0-8794-4f88-ac07-a229199c6f0f","0.8452","low_similarity"
"leather Product Export manager","የቆዳ ምርት ኤክስፖርት አስተዳዳሪ","P","Business","Wholesale textiles, textiles, clothing, shoes and leather products","minilm","5","0.8925","high_confidence","leather goods product development manager","http://data.europa.eu/esco/occupation/ada3fc30-c205-4279-90b8-ed5c7c467626","0.8925","high_confidence","leather goods production manager","http://data.europa.eu/esco/occupation/e5257110-e7f1-453a-a2dc-bd374945bc4a","0.8910","high_confidence","import export manager in hides, skins and leather products","http://data.europa.eu/esco/occupation/d7a12ff0-7e25-4dab-98c5-1f5a781da8ad","0.8885","high_confidence","leather raw materials purchasing manager","http://data.europa.eu/esco/occupation/80db1e93-6dad-49aa-b465-d64a4a73141b","0.8771","high_confidence","leather production manager","http://data.europa.eu/esco/occupation/316309e4-5fce-4dca-85d1-07702217ea19","0.8721","high_confidence"
"Leather Project Technical Coordinator","የቆዳ ፕሮጀክት ቴክኒካል አስተባባሪ","P","Industry Development","Leather","minilm","5","0.8912","high_confidence","leather production manager","http://data.europa.eu/esco/occupation/316309e4-5fce-4dca-85d1-07702217ea19","0.8912","high_confidence","leather goods maintenance technician","http://data.europa.eu/esco/occupation/f31e25d0-8794-4f88-ac07-a229199c6f0f","0.8888","high_confidence","leather goods manufacturing technician","http://data.europa.eu/esco/occupation/a645b7e5-dfa8-4cce-938f-2d6395a6b51d","0.8880","high_confidence","leather production planner","http://data.europa.eu/esco/occupation/97d65832-3817-4ded-946b-cfc4a0237b9a","0.8841","high_confidence","leather goods production supervisor","http://data.europa.eu/esco/occupation/0e68f523-3206-4896-b725-44150dd22057","0.8815","high_confidence"
"Leather tailor","የቆዳ ስፌት","U","Manufacturing","Leather clothing, travel accessories, womens handbags, handbags","minilm","5","0.9219","high_confidence","leather goods designer","http://data.europa.eu/esco/occupation/a142a645-6e9e-4d86-accd-9816df857c90","0.9219","high_confidence","tailor","http://data.europa.eu/esco/occupation/978ae3a2-0831-415a-8396-b84dde656fc5","0.8924","high_confidence","leather goods hand stitcher","http://data.europa.eu/esco/occupation/e666c384-2a14-4cd9-981f-7067dc0bb9a9","0.8677","high_confidence","leather goods industrial engineer","http://data.europa.eu/esco/occupation/91d0f74b-8612-49cc-a7da-83ee3c4b94d9","0.8595","high_confidence","leather goods patternmaker","http://data.europa.eu/esco/occupation/5157706c-3fce-420e-9e7f-863000af5397","0.8570","high_confidence"
"Leather Technician","የቆዳ ቴክኒሻን","U","Industry Development","Leather","minilm","5","0.9575","exact","leather goods manufacturing technician","http://data.europa.eu/esco/occupation/a645b7e5-dfa8-4cce-938f-2d6395a6b51d","0.9575","exact","leather laboratory technician","http://data.europa.eu/esco/occupation/4b8dced3-ac9e-445d-8787-e07daf52e295","0.9507","exact","leather goods maintenance technician","http://data.europa.eu/esco/occupation/f31e25d0-8794-4f88-ac07-a229199c6f0f","0.9456","high_confidence","leather goods quality technician","http://data.europa.eu/esco/occupation/7bf11599-d0bb-4789-9886-55c87f5da449","0.9426","high_confidence","leather goods quality control laboratory technician","http://data.europa.eu/esco/occupation/45f8504d-24ac-4bcd-8692-a93acc74204c","0.8957","high_confidence"
"Leather-Craft trainer (Project Assistance)","የቆዳ-ዕደ-ጥበብ አሰልጣኝ (የፕሮጀክት እርዳታ)","P","Industry Development","Leather","minilm","5","0.8530","high_confidence","leather goods patternmaker","http://data.europa.eu/esco/occupation/5157706c-3fce-420e-9e7f-863000af5397","0.8530","high_confidence","leather production machine operator","http://data.europa.eu/esco/occupation/3da8ee8c-ab60-4feb-ab5b-3ba31ef9ec1f","0.8470","low_similarity","leather goods manufacturing technician","http://data.europa.eu/esco/occupation/a645b7e5-dfa8-4cce-938f-2d6395a6b51d","0.8422","low_similarity","leather goods manual operator","http://data.europa.eu/esco/occupation/24e9f120-eae8-411a-8daf-c48e8ae2f5f6","0.8399","low_similarity","leather goods industrial engineer","http://data.europa.eu/esco/occupation/91d0f74b-8612-49cc-a7da-83ee3c4b94d9","0.8381","low_similarity"
"Lecturer","መምህር","P","Service","Primary and secondary education","minilm","5","0.9395","high_confidence","higher education lecturer","http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923","0.9395","high_confidence","business lecturer","http://data.europa.eu/esco/occupation/30058b71-fe16-45ea-a2b8-d5461c706372","0.9187","high_confidence","assistant lecturer","http://data.europa.eu/esco/occupation/c262bb96-03bb-4c97-a45b-0cf36db5b048","0.9171","high_confidence","engineering lecturer","http://data.europa.eu/esco/occupation/e9f50268-4dab-4579-90c2-2ff219eb56f1","0.9171","high_confidence","mathematics lecturer","http://data.europa.eu/esco/occupation/dab9c6dd-8efb-4fe2-8b10-477ef2bcfd8b","0.9102","high_confidence"
"Lecturer in Accounting and Finance","በሂሳብ አያያዝ እና ፋይናንስ ውስጥ መምህር","P","Service","Primary and secondary education","minilm","5","0.8752","high_confidence","business lecturer","http://data.europa.eu/esco/occupation/30058b71-fe16-45ea-a2b8-d5461c706372","0.8752","high_confidence","economics lecturer","http://data.europa.eu/esco/occupation/0959cd1d-f6c8-4362-939a-ad7d5f75d659","0.8688","high_confidence","accounting analyst","http://data.europa.eu/esco/occupation/caafca69-9faa-4850-8930-a3fa07fea4e6","0.8506","high_confidence","accounting manager","http://data.europa.eu/esco/occupation/04f39bfa-bc03-4480-98bc-b18ce4fe4b4b","0.8319","low_similarity","financial analyst","http://data.europa.eu/esco/occupation/8d586ee9-0ab1-4155-a3b0-2ca786c8e48c","0.8250","low_similarity"
"Lecturer in Computer Programming","በኮምፒውተር ፕሮግራሚንግ ውስጥ መምህር","P","Service","Primary and secondary education","minilm","5","0.9417","high_confidence","computer science lecturer","http://data.europa.eu/esco/occupation/c3b82711-273d-4fa8-8de7-0ac3d99c16fc","0.9417","high_confidence","engineering lecturer","http://data.europa.eu/esco/occupation/e9f50268-4dab-4579-90c2-2ff219eb56f1","0.8217","low_similarity","mathematics lecturer","http://data.europa.eu/esco/occupation/dab9c6dd-8efb-4fe2-8b10-477ef2bcfd8b","0.8164","low_similarity","software analyst","http://data.europa.eu/esco/occupation/04ba4d6c-957d-417f-bf63-5b9e015a9f86","0.8118","low_similarity","higher education lecturer","http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923","0.8092","low_similarity"
"Lecturer in Computer Science","የኮምፒውተር ሳይንስ መምህር","P","Service","Primary and secondary education","minilm","5","0.9847","exact","computer science lecturer","http://data.europa.eu/esco/occupation/c3b82711-273d-4fa8-8de7-0ac3d99c16fc","0.9847","exact","engineering lecturer","http://data.europa.eu/esco/occupation/e9f50268-4dab-4579-90c2-2ff219eb56f1","0.8639","high_confidence","higher education lecturer","http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923","0.8619","high_confidence","mathematics lecturer","http://data.europa.eu/esco/occupation/dab9c6dd-8efb-4fe2-8b10-477ef2bcfd8b","0.8562","high_confidence","computer scientist","http://data.europa.eu/esco/occupation/e3229e40-f571-4b26-baca-29edc8fe313e","0.8539","high_confidence"
"Lecturer in Marketing and Management","በማርኬቲንግ እና አስተዳደር ውስጥ መምህር","P","Service","Primary and secondary education","minilm","5","0.8773","high_confidence","business lecturer","http://data.europa.eu/esco/occupation/30058b71-fe16-45ea-a2b8-d5461c706372","0.8773","high_confidence","marketing manager","http://data.europa.eu/esco/occupation/6fcf4638-e7c7-4978-9302-9a7b63a3d57c","0.8467","low_similarity","marketing consultant","http://data.europa.eu/esco/occupation/4791e217-d607-40d5-9f84-df1d0a071cbc","0.8387","low_similarity","economics lecturer","http://data.europa.eu/esco/occupation/0959cd1d-f6c8-4362-939a-ad7d5f75d659","0.8358","low_similarity","communications lecturer","http://data.europa.eu/esco/occupation/49023c69-302f-4671-b26f-7229d1a53915","0.8306","low_similarity"
"Lecturer, Accounting","መምህር ፣ የሂሳብ አያያዝ","P","Service","Primary and secondary education","minilm","5","0.8799","high_confidence","business lecturer","http://data.europa.eu/esco/occupation/30058b71-fe16-45ea-a2b8-d5461c706372","0.8799","high_confidence","accounting analyst","http://data.europa.eu/esco/occupation/caafca69-9faa-4850-8930-a3fa07fea4e6","0.8696","high_confidence","economics lecturer","http://data.europa.eu/esco/occupation/0959cd1d-f6c8-4362-939a-ad7d5f75d659","0.8559","high_confidence","accounting manager","http://data.europa.eu/esco/occupation/04f39bfa-bc03-4480-98bc-b18ce4fe4b4b","0.8553","high_confidence","accountant","http://data.europa.eu/esco/occupation/eda0d957-3c3c-4139-b89a-a18bc9e18897","0.8524","high_confidence"
"Lecturer, Nursing","መምህር ፣ ነርሲንግ","P","Service","Primary and secondary education","minilm","5","0.9798","exact","nursing lecturer","http://data.europa.eu/esco/occupation/1bbaf82c-67ae-4beb-9a55-7298acf5b2af","0.9798","exact","medicine lecturer","http://data.europa.eu/esco/occupation/0bf5d25a-2b4d-43b5-b053-beeb210fa43a","0.8796","high_confidence","healthcare specialist lecturer","http://data.europa.eu/esco/occupation/b3ebf55f-5e50-4262-946a-f08d7fbe29b2","0.8613","high_confidence","business lecturer","http://data.europa.eu/esco/occupation/30058b71-fe16-45ea-a2b8-d5461c706372","0.8379","low_similarity","higher education lecturer","http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923","0.8374","low_similarity"
"Lecturer, Pharmacy","መምህር ፣ ፋርማሲ","P","Service","Primary and secondary education","minilm","5","0.9837","exact","pharmacy lecturer","http://data.europa.eu/esco/occupation/55a785db-0636-41b8-950f-0b65abe5e81b","0.9837","exact","medicine lecturer","http://data.europa.eu/esco/occupation/0bf5d25a-2b4d-43b5-b053-beeb210fa43a","0.8777","high_confidence","pharmacy assistant","http://data.europa.eu/esco/occupation/c1a86d6d-7785-43e1-994b-958eba58fff7","0.8639","high_confidence","industrial pharmacist","http://data.europa.eu/esco/occupation/53cdcc84-e5ee-488c-aa09-88084e06d6d7","0.8474","low_similarity","chemistry lecturer","http://data.europa.eu/esco/occupation/e74513c3-8ba8-462f-978c-0450522f4427","0.8432","low_similarity"
"Lecturer, Public Health","መምህር, የህዝብ ጤና","P","Service","Primary and secondary education","minilm","5","0.8729","high_confidence","medicine lecturer","http://data.europa.eu/esco/occupation/0bf5d25a-2b4d-43b5-b053-beeb210fa43a","0.8729","high_confidence","healthcare specialist lecturer","http://data.europa.eu/esco/occupation/b3ebf55f-5e50-4262-946a-f08d7fbe29b2","0.8674","high_confidence","biology lecturer","http://data.europa.eu/esco/occupation/5fdfa822-c1ba-477e-87cc-3d742e59310d","0.8280","low_similarity","public health policy officer","http://data.europa.eu/esco/occupation/d4d6842b-27f0-4222-85db-c542acf6d434","0.8258","low_similarity","assistant lecturer","http://data.europa.eu/esco/occupation/c262bb96-03bb-4c97-a45b-0cf36db5b048","0.8210","low_similarity"
"LED Display advert Writer","ማሳያ ማስታወቂያ ጸሐፊ","P","Service","Advertising","minilm","5","0.7514","low_similarity","advertising copywriter","http://data.europa.eu/esco/occupation/b1ab3572-fa2f-4624-8eac-3c3d986d237b","0.7514","low_similarity","advertising sales agent","http://data.europa.eu/esco/occupation/f5332f2d-3119-4194-8b5c-d0a5d97f55ef","0.7477","low_similarity","advertising assistant","http://data.europa.eu/esco/occupation/54cba39a-5bb8-4e4c-89cd-d6097d3c6c3a","0.7459","low_similarity","advertising installer","http://data.europa.eu/esco/occupation/c28cb56b-003e-499a-8dbf-b654864e7867","0.7406","low_similarity","advertising media buyer","http://data.europa.eu/esco/occupation/4795d4e3-c623-47ff-abab-7de97fcb764e","0.7355","low_similarity"
"Led light installer","የ LED መብራት ጫኝ","P","Construction","Electrical Works Contractor","minilm","5","0.7616","low_similarity","ceiling installer","http://data.europa.eu/esco/occupation/41a8e7c8-e1d8-4984-9b3c-dbbad1699f83","0.7616","low_similarity","vehicle electronics installer","http://data.europa.eu/esco/occupation/ecdc43f5-3b32-4f94-abf8-cd46480c8cb8","0.7389","low_similarity","window installer","http://data.europa.eu/esco/occupation/353a22a7-1c55-410c-a7a7-c531692b5e50","0.7289","low_similarity","intelligent lighting engineer","http://data.europa.eu/esco/occupation/0eebf6d2-af43-4a18-b4b7-668fb6433b42","0.7244","low_similarity","kitchen unit installer","http://data.europa.eu/esco/occupation/bc61af54-0c3b-411c-a434-4b0d23c6fcce","0.7195","low_similarity"
