nos_title,nos_sector,nos_code,zqf_level,nos_description,top_match_esco_code,top_match_esco_label,top_match_similarity,top_match_esco_description,candidate_2_label,candidate_2_sim,candidate_3_label,candidate_3_sim,candidate_4_label,candidate_4_sim,candidate_5_label,candidate_5_sim
Production Manager,Manufacturing,NOS.PM.01,7,"1. The individual on the job understands the product requirement, interprets the product design and develops product for manufacturing. The individual acts an interface between design and production department. 2. To ensure goods and services are produced safely, cost effectively and on time and that they meet the required quality standards 3. Should be able to conduct research in his/her field to monitor productivity rates and product standards and implement quality systems management. 4. Should be able to plan and draw up a Master production schedule. 5. Should be able to establish and run an effective maintenance schedule. 6. Should be able to collate and analyse data, putting together production reports for both factory managers and customers. 7. Should liaise with different departments, teams and stakeholders such as suppliers, managers, clients etc. 8. Should be able to review worker performance and identify training needs. 9. Supervise and motivate a team of workers 10. Ensure that production is be cost effective estimating costs, negotiating and agreeing budgets with both clients and managers, etc",1321.2.1,industrial production manager,87.6,"Industrial production managers oversee the operations and the resources needed in industrial plants and manufacturing sites for a smooth running of the operations. They prepare the production schedule by combining the requirements of clients with the resources of the production plant. They organise the journey of incoming raw materials or semi finished products in the plant until a final product is delivered by coordinating inventories, warehouses, distribution, and support activities.",production supervisor,87.5,performance production manager,86.9,product development manager,86.8,,
Quality Controller,Manufacturing,NOS.QC.01,6,"Quality Controller in a manufacturing sector ensures: • That production outputs meet desired quality specifications. • The Assessment of all raw materials and inputs to meet product specifications. • Implementation of latest Quality Management Systems, as applicable",7543.9,product quality controller,92.1,"Product quality controllers check the quality of manufactured products. They work in manufacturing facilities where they perform basic inspection and evaluation of products before, during or after the production process. They track production problems and send inferior or malfunctioning items back for repair.",product quality inspector,89.4,industrial quality manager,89.1,quality engineer,88.0,,
Workshop Machines Operator,Manufacturing,NOS.WMO.01,4,Operating of Machinery/Equipment,7223.4.4,lathe and turning machine operator,89.1,"Lathe and turning machine operators set up, program and tend lathe and turning machines designed to cut excess metal from a metal workpiece using a hardened cutting tool moved by computer-controlled motors. They read lathe and turning machine blueprints and tooling instructions, perform regular machine maintenance, and make adjustments to the lathe controls, such as the depth of cuts and the rotation speed.",industrial machinery mechanic,88.8,machine operator supervisor,88.3,lasting machine operator,88.1,,
Mine Data Entry Operator,Mining,NOS.MDEO.01,4,A Mine Data Entry Operator ensures end to end data processing and maintaining related process parameters,8112.2,mineral processing operator,87.7,Mineral processing operators operate a variety of plants and equipment to convert raw materials into marketable products. They provide the appropriate information on the process to the control room.,data entry clerk,87.6,mine control room operator,87.0,data entry supervisor,86.4,,
Mine Safety Officer,Mining,NOS.MSO.01,6,A Mine Safety Officer monitors hazardous situations and is responsible for ensuring adherence to safety regulations,3117.4,mine safety officer,93.0,"Mine safety officers oversee health and safety systems at mining operations. They report workplace accidents, compile accident statistics, estimate risks to employee safety and health, and suggest solutions or new measurements and techniques.",mine health and safety engineer,90.3,health and safety officer,89.3,mine supervisor,88.0,,
Process Engineer,Mining,NOS.PE.01,7,The Process Engineer executes end to end technical activities of mineral/metal and petroleum extraction from its ore,2146.9,mineral processing engineer,90.2,Mineral processing engineers develop and manage equipment and techniques to successfully process and refine valuable minerals from ore or raw mineral.,process metallurgist,89.8,process engineer,88.8,petroleum engineer,86.8,,
Winding Engine Operator,Mining,NOS.WEO.01,4,A Winding Engine Operator ensures execution of activities related to the winding engine,8151.4,winding machine operator,87.8,"Winding machine operators tend machines that wrap strings, cords, yarns, ropes, threads onto reels, bobbins, or spools. They handle materials, prepare them for processing, and use winding machines for that purpose. They also perform routine maintenance of the machinery.",mine mechanical engineer,87.5,mining equipment mechanic,87.4,mine control room operator,87.4,,
Mining Blaster,Mining,NOS.MB.01,3,"A Mining Blaster, also known as Shot Firer, uses explosives to break or dislodge rocks, demolish structures and large earth masses",2146.3,explosives engineer,88.5,Explosives engineers design drilling patterns and determine the amount of explosives required. They organise and supervise controlled blasts and report and investigate misfires. They manage explosives magazines.,shotfirer,87.8,demolition worker,86.6,mineral crushing operator,86.5,,
Senior Chemist,Mining,NOS.SC.01,7,,2113.1.1,analytical chemist,88.2,"Analytical chemists research and describe the chemical composition of substances. Moreover, they draw conclusions related to the behaviour of such substances in different conditions. Analytical chemists play an important role in looking at the relationship between chemistry and the environment, food, fuel, and medicine. They use a range of techniques such as electro-chromatography, gas and high performance liquid chromatography and spectroscopy.",chemical metallurgist,86.3,process metallurgist,85.8,chemical manufacturing quality technician,85.7,,
Fire Fighter,Transport,NOS.FF.01,3,"A Fire Fighter is responsible for ensuring fire alarms, medical emergencies, hazardous materials, urban rescue, and other calls to protect life and property are attended to, and to participate in fire prevention and training, and the maintenance of fire stations and the firefighting equipment",5411.1,firefighter,88.1,"Firefighters are responsible for emergency response in case of a fire outbreak or other hazardous situations. They oversee the evacuation of the endangered premises and ensure victims are rescued and taken care of by the appropriate professionals. Once the premises are clear of victims, they ensure the fire is extinguished, compliant with health and safety regulations. They also regulate the clean-up of the scene and assess the damage.",fire prevention and protection engineer,87.4,emergency response worker,87.0,fire protection technician,86.9,,
Customs Agent,Transport,NOS.CA.01,6,A Customs Agent is responsible for ensuring compliance with customs laws and regulations for goods entering or leaving the country,3331.1,customs and excise officer,87.9,"Customs and excise officers approve or deny the passage of goods through customs barriers for international business and ensure compliance with consignment legislation. They facilitate communication between import and export trading institutions and government officials, and are responsible for taxation calculation and ensuring payment.",customs officer,87.5,tax compliance officer,86.3,shipping agent,85.5,,
Logistician,Transport,NOS.L.01,6,"A Logistician oversees and manages the entire supply chain process, including: supplier management, inventory management, procurement, transportation, warehousing, timely delivery, distribution, and optimisation of network",1324.8,supply chain manager,91.2,"Supply chain managers plan, manage and coordinate all activities related to the sourcing and procurement of supplies needed to run manufacturing operations from the acquisition of raw materials to the distribution of finished products. The supplies can be raw materials or finished products, and it can be for internal or external use. Moreover, they plan and commission all the activities needed to be performed in manufacturing plants and adjust operations to changing levels of demand for a company's products.",logistics and distribution manager,90.3,logistics analyst,88.8,supply chain assistant,88.5,,
Professional Driver,Transport,NOS.PD.01,3,"A Professional Driver is responsible for driving safely and competently, ensuring roadworthiness of the vehicle by conducting pre-drive checks, managing incidences, conducting or recommending vehicle maintenance, applying customer care skills, demonstrating defensive driving skills, ensuring fuel efficiency, and economic driving habits. He/she must follow traffic laws and correctly route themselves",8322.5,patient transport services driver,85.1,"Patient transport services drivers transfer disabled, vulnerable and elderly patients to and from health care facilities such as hospitals or social care settings. They drive the ambulance and maintain all the related equipment but under non-emergency circumstances.",occupational driving instructor,84.9,cargo vehicle driver,84.5,transport health and safety inspector,84.4,,
Safety Officer,Transport,NOS.SO.01,6,"A Safety Officer is responsible for planning, implementing, and overseeing the employees’ safety in the workplace. His/her main duty is to ensure the company is in compliance with, and adheres to, all safety guidelines",2263.3,health and safety officer,89.7,"Health and safety officers execute plans for the improvement of work environments and cultures. They assess risks and interview employees to ensure the work environment is compliant with health and safety rules, as well as ensuring the interaction within the workplace occurs in a positive and productive manner. If employed in a healthcare facility the health and safety officer has to investigate infections spreading across a facility and advice all employees how to combat and prevent infections. Furthermore health physics is applied at facilities where people are exposed to ionizing radiation such as nuclear power plants and research institutions.",transport health and safety inspector,88.0,aviation safety officer,87.7,mine safety officer,87.6,,
Transportant,Transport,NOS.T.01,7,"A Transportant ensures the smooth running of transport services by maintaining vehicles, as well as allocating of staff and vehicles to provide optimal services through planning, managing, administrating, and controlling resources",2164.3,transport planner,87.6,"Transport planners develop and implement policies in order to improve transport systems, taking into account the social, environmental and economic factors. They collect and analyse traffic data using statistical modelling tools.",road transport maintenance scheduler,86.6,mobility services manager,86.4,resource manager,86.1,,
Environment and Water Quality Officer,Water,NOS.EWQO.01,7,"An Environment and Water Quality Officer undertakes environmental, social, and economic assessments, and develops standards to inspect water and wastewater treatment facilities. He/she also undertakes water and wastewater sampling tests, analysis, and reporting on their quality parameters, environmental surveillance, climate change adaptation, and mitigation interventions. They direct, monitor, and evaluate safety practices and procedures with respect to laboratory and field analytical work, to check if they meet health and hygiene standards. Coaching and mentoring subordinates, training of communities on environmental sustainability, water security and quality also forms part of their responsibilities",2133.13,water quality analyst,88.7,"Water quality analysts safeguard the quality of water through scientific analysis, ensuring quality and safety standards are met. They take samples of the water and perform laboratory tests, and develop purification procedures so it can serve as drinking water, for irrigation purposes, and other water supply purposes.",monitoring and evaluation officer,87.6,environmental protection manager,86.8,environmental health inspector,86.8,,
Laboratory Technologist,Water,NOS.LT.01,6,"A Laboratory Technologist collects and analyses water and wastewater samples to check for treatment efficiency, as well as compliance with applicable drinking water quality, wastewater quality, and environmental standards. He/she works within the field and laboratory setting—cleaning, maintaining, and packaging of apparatus, reagents and cleaning materials, general management of the laboratory, records inventory, preparation and submission of water and wastewater laboratory technical reports, and following procedures with respect to laboratory and field analytical work, while adhering to health and biosafety guidelines",2133.13,water quality analyst,87.0,"Water quality analysts safeguard the quality of water through scientific analysis, ensuring quality and safety standards are met. They take samples of the water and perform laboratory tests, and develop purification procedures so it can serve as drinking water, for irrigation purposes, and other water supply purposes.",wastewater treatment technician,86.5,scientific laboratory technician,86.5,environmental technician,86.3,,
Pit Emptier,Water,NOS.PE.01,3,"A Pit Emptier’s job is crucial for the safe management of on-site sanitation facilities, thereby maintaining public health and prevention of environmental pollution. A Pit Emptier collects faecal sludge/septage from on-site sanitation facilities and safely transports it to the storage/faecal sludge treatment facility. Pit Emptiers inspect and follow safety protocols in maintaining equipment, and they sometimes provide advice to clients on proper waste management practices. • Scheduling of emptying jobs; • Conducting assessment of on-site sanitation facilities; • Conducting marketing of emptying services; • Reporting on emptying operations",7126.9,septic tank servicer,87.0,"Septic tank servicers clean and maintain septic systems. They repair damages and faults, and ensure the tanks are cleaned and maintained, operating cleaning and maintenance machinery, in compliance with safety procedures.",solid waste operator,86.5,sewerage cleaner,85.8,wastewater treatment operator,85.4,,
Wastewater and Faecal Sludge Treatment Plant Plant,Water,NOS.WFSTPO.01,6,"A Wastewater and Faecal Sludge Treatment Plant Operator is responsible for monitoring the operations of the treatment plant, ensuring all treatment units are functional and in good order. A Treatment Plant Operator is responsible for treatment and safe disposal of effluent in conformity with national regulations. They are also responsible for compliance to occupational and biosafety standards and guidelines within the plant",3132.4,wastewater treatment operator,90.4,Wastewater treatment operators operate equipment used in a water or wastewater plant. They treat and clean drinking water before it is distributed to the consumer and process wastewater to remove harmful substances before returning it to rivers and seas. They take samples and perform tests to analyse the water quality.,liquid waste treatment plant operator,89.8,wastewater treatment technician,88.4,water treatment systems operator,87.1,,
Water and Sanitation Engineer,Water,NOS.WSE.01,7,"A Water and Sanitation Engineer is a specialist in design, planning, establishing, expanding, constructing, operating, and maintaining water and sanitation facilities",2142.1.11,water engineer,89.4,"Water engineers research and develop methods for the provision of clean water, water treatment and flood damage prevention and reaction. They research water needs in a location and develop methods for meeting those needs, such as designing and developing projects for managing water resources such as treatment plants, pipelines, pump systems, irrigation or draining systems and other water supply systems. Water engineers also ensure proper installation of these systems on construction sites. Water engineers also maintain, repair and build structures that control water resources, such as bridges, canals and dams.",wastewater engineer,87.9,environmental engineer,87.9,water systems engineering technician,86.9,,
Water Treatment Plant Operator,Water,NOS.WTPO.01,6,"A Water Treatment Plant Operator is responsible for monitoring operations of the treatment plant, ensuring all treatment units are functional and in good order. He/she is responsible for determining and ensuring correct dosages/applications of treatment chemicals, and is also responsible for enforcing safety within the plant. He/she ensures the water produced meets the national drinking water standards",3132.7,water treatment systems operator,90.7,"Water treatment system operators treat water to ensure safety for drinking, irrigation, or other use. They operate and maintain water treatment equipment and ensure the water is safe for bottling and use in food production by thoroughly testing before distribution, and by meeting environmental standards.",water treatment plant manager,89.9,liquid waste treatment plant operator,88.6,water plant technician,88.5,,
